지역,지역명,위도,경도
[국가망]경상북도,봉화승부,36.99311398,129.0842416
[국가망]경상북도,금강송소광,36.99448149,129.1963881
[국가망]전라남도,홍농,35.39700947,126.4450038
[국가망]전라남도,목포,34.81066693,126.3940752
[국가망]전라남도,여수,34.76067492,127.6623237
[국가망]전라남도,완도,34.32015808,126.7281448
[국가망]전라남도,무안,34.98881189,126.464209
[국가망]전라남도,고흥,34.60035761,127.2965318
[국가망]전라남도,해남,34.56593894,126.5947555
[국가망]전라남도,진도,34.47256836,126.2545041
[국가망]전라남도,가거도,34.07320114,125.1114252
[국가망]전라남도,거문도,34.04732728,127.3184199
[국가망]전라남도,홍도,34.69250521,125.1999945
[국가망]전라남도,영광방재센터,35.28377404,126.4774102
[국가망]전라남도,낙월,35.20275416,126.1419017
[국가망]전라남도,장성,35.32922787,126.7653897
[국가망]전라북도,군산,35.96817868,126.7317462
[국가망]전라북도,전주,35.82786098,127.11615
[국가망]전라북도,고창,35.44866587,126.614851
[국가망]전라북도,남원,35.42456763,127.4316591
[국가망]전라북도,정읍,35.60424451,126.8928168
[국가망]전라북도,부안,35.73199837,126.7139905
[국가망]전라북도,덕유산,35.85802662,127.746777
[국가망]전라북도,위도,35.59671096,126.2809657
[국가망]전라북도,변산,35.66375216,126.5301875
[국가망]전라북도,동호,35.51031331,126.489605
[국가망]전라북도,심원,35.52324094,126.5509882
[국가망]전라북도,해리,35.4606759,126.539635
[국가망]전라북도,무장,35.41709611,126.5606838
[국가망]전라북도,대산,35.33985005,126.6005828
[국가망]전라북도,부안봉암,35.55503384,126.6265961
[국가망]제주도,제주,33.49645741,126.5304049
[국가망]제주도,서귀포,33.25228141,126.5603002
[국가망]제주도,고산,33.29762657,126.1837878
[국가망]제주도,마라도,33.11801245,126.2678499
[국가망]제주도,이어도,33.07081426,126.2105561
[국가망]제주도,추자도,33.94755179,126.320311
[국가망]제주도,한라산,33.36996616,126.5311293
[국가망]제주도,강정,33.23655087,126.4773383
[국가망]세종특별자치시,세종,36.50246338,127.2713649
